Report_Period_Start_Date	ncdr_counts
2024-07-01	289310
2024-07-02	13994
2024-07-03	23347
2024-07-04	18148
2024-07-05	30111
2024-07-06	48151
2024-07-07	13046
2024-07-08	35890
2024-07-09	10477
2024-07-10	12053
2024-07-11	13727
2024-07-12	10754
2024-07-13	9643
2024-07-14	9575
2024-07-15	54140
2024-07-16	11033
2024-07-17	11143
2024-07-18	17998
2024-07-19	11786
2024-07-20	10971
2024-07-21	11191
2024-07-22	32598
2024-07-23	30499
2024-07-24	9685
2024-07-25	14253
2024-07-26	17559
2024-07-27	17463
2024-07-28	13752
2024-07-29	32831
2024-07-30	32721
2024-07-31	5844
2024-08-01	31869
2024-08-02	11347
2024-08-03	8107
2024-08-04	8463
2024-08-05	5587
